PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
25882870;73662722;1;1;null;1;""
25882870;73663050;1;1;1;null;""
25882870;73662722;2;2;null;2;""
25882870;73663050;2;2;2;null;""
25882870;73662722;1;3;null;3;""
25882870;73663050;1;3;3;null;""
25882870;73662722;2;4;null;4;""
25882870;73663050;2;4;4;null;""
25882870;73662722;1;5;null;5;""
25882870;73663050;1;5;5;null;""
25882870;73662722;2;6;null;6;""
25882870;73663050;2;6;6;null;""
25882870;73662722;1;7;null;7;""
25882870;73663050;1;7;7;null;""
