PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
26845541;77348026;1;1;null;1;""
26845541;77410756;1;1;1;1;""
26845541;77423357;1;1;1;1;""
26845541;77424570;1;1;1;null;""
26845541;77348026;2;2;null;2;""
26845541;77410756;2;2;2;null;" Unklar"
26845541;77348026;1;3;null;3;""
26845541;77410756;1;3;3;null;""
26845541;77348026;2;4;null;4;""
26845541;77410756;2;4;4;null;""
26845541;77348026;1;5;null;5;""
26845541;77410756;1;5;5;3;""
26845541;77423357;1;3;5;3;""
26845541;77424570;1;3;3;null;""
26845541;77423357;2;2;null;2;""
26845541;77424570;2;2;2;null;""
