PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
"26871625";"77445812";"1";"1";"null";"1";"";
"26871625";"77479797";"1";"1";"1";"null";"";
"26871625";"77445812";"2";"2";"null";"2";"";
"26871625";"77479797";"2";"2";"2";"null";"";
"26871625";"77445812";"1";"3";"null";"3";"";
"26871625";"77479797";"1";"3";"3";"null";"";
"26871625";"77445812";"2";"4";"null";"4";"";
"26871625";"77479797";"2";"4";"4";"null";"";
"26871625";"77445812";"2";"5";"null";"5";"";
"26871625";"77479797";"2";"5";"5";"null";"";
"26871625";"77445812";"2";"6";"null";"6";"";
"26871625";"77479797";"2";"6";"6";"null";"";
