PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
"26314477";"75318111";"1";"1";"null";"1";""
"26314477";"143034213";"1";"1";"1";"null";""
"26314477";"75318111";"2";"2";"null";"2";""
"26314477";"143034213";"2";"2";"2";"null";""
"26314477";"75318111";"1";"3";"null";"3";""
"26314477";"143034213";"1";"3";"3";"null";""
"26314477";"75318111";"2";"4";"null";"4";""
"26314477";"143034213";"2";"4";"4";"null";""
"26314477";"75318111";"1";"5";"null";"5";""
"26314477";"143034213";"1";"5";"5";"null";""
"26314477";"75318111";"2";"6";"null";"6";""
"26314477";"143034213";"2";"6";"6";"null";""
"26314477";"75318111";"1";"7";"null";"7";""
"26314477";"143034213";"1";"7";"7";"null";""
"26314477";"75318111";"2";"8";"null";"8";""
"26314477";"143034213";"2";"8";"8";"null";""
"26314477";"75318111";"1";"9";"null";"9";""
"26314477";"143034213";"1";"9";"9";"null";""
