PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
"7082643";"15548371";"1";"1";"null";"1";""
"7082643";"15548539";"1";"1";"1";"null";""
"7082643";"15548371";"2";"2";"null";"2";""
"7082643";"15548539";"2";"2";"2";"null";""
"7082643";"15548371";"1";"3";"null";"3";""
"7082643";"15548539";"1";"3";"3";"null";""
"7082643";"15548371";"2";"4";"null";"4";""
"7082643";"15548539";"2";"4";"4";"null";""
"7082643";"15548371";"1";"5";"null";"5";""
"7082643";"15548539";"1";"5";"5";"null";""
"7082643";"15548371";"2";"6";"null";"6";""
"7082643";"15548539";"2";"6";"6";"null";""
"7082643";"15548371";"1";"7";"null";"7";""
"7082643";"15548539";"1";"7";"7";"null";""
"7082643";"15548371";"2";"8";"null";"8";""
"7082643";"15548539";"2";"8";"8";"null";""
