PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
"26328944";"75374741";"1";"1";"null";"1";""
"26328944";"75375059";"1";"1";"1";"1";""
"26328944";"75375456";"1";"1";"1";"null";""
"26328944";"75374741";"2";"2";"null";"2";""
"26328944";"75375059";"2";"2";"2";"2";""
"26328944";"75375456";"2";"2";"2";"null";""
"26328944";"75374741";"1";"3";"null";"3";""
"26328944";"75375059";"1";"3";"3";"3";""
"26328944";"75375456";"1";"3";"3";"null";""
"26328944";"75374741";"2";"4";"null";"4";""
"26328944";"75375059";"2";"4";"4";"4";""
"26328944";"75375456";"2";"4";"4";"null";""
"26328944";"75374741";"1";"5";"null";"5";""
"26328944";"75375059";"1";"5";"5";"5";""
"26328944";"75375456";"1";"5";"5";"null";""
"26328944";"75374741";"2";"6";"null";"6";""
"26328944";"75375059";"2";"6";"6";"6";""
"26328944";"75375456";"2";"6";"6";"null";""
"26328944";"75374741";"1";"7";"null";"7";""
"26328944";"75375059";"1";"7";"7";"7";""
"26328944";"75375456";"1";"7";"7";"null";""
"26328944";"75374741";"2";"8";"null";"8";""
"26328944";"75375059";"2";"8";"8";"8";""
"26328944";"75375456";"2";"8";"8";"null";""
"26328944";"75375059";"1";"9";"null";"9";""
"26328944";"75375456";"1";"9";"9";"null";""
"26328944";"75375059";"2";"10";"null";"10";""
"26328944";"75375456";"2";"10";"10";"null";""
"26328944";"75375059";"1";"11";"null";"11";""
"26328944";"75375456";"1";"11";"11";"null";""
