PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
"43508159";"143525020";"1";"1";"null";"1";""
"43508159";"143593703";"1";"1";"1";"1";""
"43508159";"143594095";"1";"1";"1";"null";""
"43508159";"143525020";"2";"2";"null";"2";""
"43508159";"143593703";"2";"2";"2";"2";""
"43508159";"143594095";"2";"2";"2";"null";""
"43508159";"143525020";"1";"3";"null";"3";""
"43508159";"143593703";"1";"3";"3";"3";""
"43508159";"143594095";"1";"3";"3";"null";""
"43508159";"143525020";"2";"4";"null";"4";""
"43508159";"143593703";"2";"4";"4";"4";""
"43508159";"143594095";"2";"4";"4";"null";""
"43508159";"143525020";"1";"5";"null";"5";""
"43508159";"143593703";"1";"5";"5";"5";""
"43508159";"143594095";"1";"5";"5";"null";""
"43508159";"143525020";"2";"6";"null";"6";""
"43508159";"143593703";"2";"6";"6";"6";""
"43508159";"143594095";"2";"6";"6";"null";""
"43508159";"143525020";"1";"7";"null";"7";""
"43508159";"143593703";"1";"7";"7";"7";""
"43508159";"143594095";"1";"7";"7";"null";""
"43508159";"143525020";"2";"8";"null";"8";""
"43508159";"143593703";"2";"8";"8";"8";""
"43508159";"143594095";"2";"8";"8";"null";""
"43508159";"143525020";"1";"9";"null";"9";""
"43508159";"143593703";"1";"9";"9";"9";""
"43508159";"143594095";"1";"9";"9";"null";""
"43508159";"143593703";"2";"10";"null";"10";""
"43508159";"143594095";"2";"10";"10";"null";""
"43508159";"143593703";"1";"11";"null";"11";""
"43508159";"143594095";"1";"11";"11";"null";""
"43508159";"143593703";"2";"12";"null";"12";""
"43508159";"143594095";"2";"12";"12";"null";""
"43508159";"143593703";"1";"13";"null";"13";""
"43508159";"143594095";"1";"13";"13";"null";""
"43508159";"143593703";"2";"14";"null";"14";""
"43508159";"143594095";"2";"14";"14";"null";""
