PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
"43707129";"144321095";"1";"1";"null";"1";""
"43707129";"144321414";"1";"1";"1";"1";""
"43707129";"144321957";"1";"1";"1";"1";""
"43707129";"144323849";"1";"1";"1";"1";""
"43707129";"144324065";"1";"1";"1";"null";""
"43707129";"144321095";"2";"2";"null";"2";""
"43707129";"144321414";"2";"2";"2";"2";""
"43707129";"144321957";"2";"2";"2";"2";""
"43707129";"144323849";"2";"2";"2";"2";""
"43707129";"144324065";"2";"2";"2";"null";""
"43707129";"144321095";"1";"3";"null";"3";""
"43707129";"144321414";"1";"3";"3";"3";""
"43707129";"144321957";"1";"3";"3";"3";""
"43707129";"144323849";"1";"3";"3";"3";""
"43707129";"144324065";"1";"3";"3";"null";""
"43707129";"144321095";"2";"4";"null";"4";""
"43707129";"144321414";"2";"4";"4";"4";""
"43707129";"144321957";"2";"4";"4";"4";""
"43707129";"144323849";"2";"4";"4";"4";""
"43707129";"144324065";"2";"4";"4";"null";""
"43707129";"144321095";"1";"5";"null";"5";""
"43707129";"144321414";"1";"5";"5";"5";""
"43707129";"144321957";"1";"5";"5";"5";""
"43707129";"144323849";"1";"5";"5";"5";""
"43707129";"144324065";"1";"5";"5";"null";""
"43707129";"144321095";"2";"6";"null";"6";""
"43707129";"144321414";"2";"6";"6";"6";""
"43707129";"144321957";"2";"6";"6";"6";""
"43707129";"144323849";"2";"6";"6";"6";""
"43707129";"144324065";"2";"6";"6";"null";""
"43707129";"144321095";"1";"7";"null";"7";""
"43707129";"144321414";"1";"7";"7";"7";""
"43707129";"144321957";"1";"7";"7";"7";""
"43707129";"144323849";"1";"7";"7";"7";""
"43707129";"144324065";"1";"7";"7";"null";""
"43707129";"144321414";"2";"8";"null";"8";""
"43707129";"144321957";"2";"8";"8";"8";""
"43707129";"144323849";"2";"8";"8";"8";""
"43707129";"144324065";"2";"8";"8";"null";""
"43707129";"144321414";"1";"9";"null";"9";""
"43707129";"144321957";"1";"9";"9";"9";""
"43707129";"144323849";"1";"9";"9";"null";""
"43707129";"144321414";"2";"10";"null";"10";""
"43707129";"144321957";"2";"10";"10";"10";""
"43707129";"144323849";"2";"10";"10";"null";""
"43707129";"144321414";"1";"11";"null";"11";""
"43707129";"144321957";"1";"11";"11";"11";""
"43707129";"144323849";"1";"11";"11";"9";""
"43707129";"144324065";"1";"9";"11";"null";""
"43707129";"144321414";"2";"12";"null";"12";""
"43707129";"144321957";"2";"12";"12";"12";""
"43707129";"144323849";"2";"12";"12";"10";""
"43707129";"144324065";"2";"10";"12";"null";""
"43707129";"144321414";"1";"13";"null";"17";""
"43707129";"144321957";"1";"17";"13";"17";""
"43707129";"144323849";"1";"17";"17";"15";""
"43707129";"144324065";"1";"15";"17";"null";""
"43707129";"144321957";"1";"13";"null";"13";""
"43707129";"144323849";"1";"13";"13";"11";""
"43707129";"144324065";"1";"11";"13";"null";""
"43707129";"144321957";"2";"14";"null";"14";""
"43707129";"144323849";"2";"14";"14";"12";""
"43707129";"144324065";"2";"12";"14";"null";""
"43707129";"144321957";"1";"15";"null";"15";""
"43707129";"144323849";"1";"15";"15";"13";""
"43707129";"144324065";"1";"13";"15";"null";""
"43707129";"144321957";"2";"16";"null";"16";""
"43707129";"144323849";"2";"16";"16";"14";""
"43707129";"144324065";"2";"14";"16";"null";""
