PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
15037082;36406932;1;1;null;1;""
15037082;36446020;1;1;1;1;""
15037082;36446618;1;1;1;1;""
15037082;36446715;1;1;1;1;""
15037082;36446998;1;1;1;1;""
15037082;36447205;1;1;1;1;""
15037082;36447463;1;1;1;1;""
15037082;36447596;1;1;1;1;""
15037082;36447708;1;1;1;1;""
15037082;36447823;1;1;1;1;""
15037082;37664103;1;1;1;null;""
15037082;36406932;2;2;null;2;""
15037082;36446020;2;2;2;2;""
15037082;36446618;2;2;2;2;""
15037082;36446715;2;2;2;2;""
15037082;36446998;2;2;2;2;""
15037082;36447205;2;2;2;2;""
15037082;36447463;2;2;2;2;""
15037082;36447596;2;2;2;2;""
15037082;36447708;2;2;2;null;""
15037082;36446020;1;3;null;3;""
15037082;36446618;1;3;3;3;""
15037082;36446715;1;3;3;3;""
15037082;36446998;1;3;3;3;""
15037082;36447205;1;3;3;3;""
15037082;36447463;1;3;3;3;""
15037082;36447596;1;3;3;3;""
15037082;36447708;1;3;3;null;""
15037082;36446618;2;4;null;4;""
15037082;36446715;2;4;4;4;""
15037082;36446998;2;4;4;4;""
15037082;36447205;2;4;4;null;""
15037082;36446618;1;5;null;5;""
15037082;36446715;1;5;5;5;""
15037082;36446998;1;5;5;5;""
15037082;36447205;1;5;5;null;""
15037082;36446618;2;6;null;6;""
15037082;36446715;2;6;6;6;""
15037082;36446998;2;6;6;6;""
15037082;36447205;2;6;6;null;""
15037082;36446618;1;7;null;7;""
15037082;36446715;1;7;7;7;""
15037082;36446998;1;7;7;7;""
15037082;36447205;1;7;7;null;""
15037082;36446618;2;8;null;8;""
15037082;36446715;2;8;8;8;""
15037082;36446998;2;8;8;8;""
15037082;36447205;2;8;8;4;""
15037082;36447463;2;4;8;4;""
15037082;36447596;2;4;4;4;""
15037082;36447708;2;4;4;2;""
15037082;36447823;2;2;4;2;""
15037082;37664103;2;2;2;null;""
15037082;36446618;1;9;null;9;""
15037082;36446715;1;9;9;9;""
15037082;36446998;1;9;9;9;""
15037082;36447205;1;9;9;5;""
15037082;36447463;1;5;9;5;""
15037082;36447596;1;5;5;5;""
15037082;36447708;1;5;5;3;""
15037082;36447823;1;3;5;3;""
15037082;37664103;1;3;3;null;""
15037082;36446618;2;10;null;10;""
15037082;36446715;2;10;10;10;""
15037082;36446998;2;10;10;10;""
15037082;36447205;2;10;10;6;""
15037082;36447463;2;6;10;6;""
15037082;36447596;2;6;6;6;""
15037082;36447708;2;6;6;4;""
15037082;36447823;2;4;6;4;""
15037082;37664103;2;4;4;null;""
15037082;36446715;1;11;null;11;""
15037082;36446998;1;11;11;11;""
15037082;36447205;1;11;11;7;""
15037082;36447463;1;7;11;7;""
15037082;36447596;1;7;7;7;""
15037082;36447708;1;7;7;5;""
15037082;36447823;1;5;7;null;""
15037082;36446715;2;12;null;12;""
15037082;36446998;2;12;12;12;""
15037082;36447205;2;12;12;null;""
15037082;36446715;1;13;null;13;""
15037082;36446998;1;13;13;13;""
15037082;36447205;1;13;13;null;""
