PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
39313130;126371439;1;1;null;1;
39313130;126371439;2;2;null;2;
39313130;126371537;1;1;1;1;
39313130;126371537;2;2;2;2;
39313130;126371666;1;1;1;1;
39313130;126371666;2;2;2;2;
39313130;126371852;1;1;1;3;
39313130;126371852;2;2;2;4;
39313130;126372275;1;1;null;1;
39313130;126372275;2;2;null;2;
39313130;126372275;1;3;1;3;
39313130;126372275;2;4;2;4;
39313130;126372454;1;1;1;1;
39313130;126372454;2;2;2;2;
39313130;126372454;1;3;3;null;
39313130;126372454;2;4;4;null;
39313130;126375224;1;1;1;1;
39313130;126375224;2;2;2;2;
39313130;126377500;1;1;1;1;
39313130;126377500;2;2;2;2;
39313130;126378954;1;1;1;null;
39313130;126378954;2;2;2;null;
