PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
14111353;33862704;1;1;null;1;""
14111353;33862779;1;1;1;1;""
14111353;33929502;1;1;1;1;""
14111353;42382014;1;1;1;null;""
14111353;33929502;2;2;null;2;""
14111353;42382014;2;2;2;null;""
14111353;33929502;1;3;null;null;""
14111353;33929502;2;4;null;null;""
14111353;33929502;1;5;null;3;""
14111353;42382014;1;3;5;null;""
14111353;33929502;2;6;null;4;""
14111353;42382014;2;4;6;null;""
14111353;33929502;1;7;null;5;""
14111353;42382014;1;5;7;null;""
