PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
23601602;64903017;1;1;null;1;""
23601602;64903523;1;1;1;null;""
23601602;64903017;2;2;null;2;""
23601602;64903523;2;2;2;null;""
23601602;64903017;1;3;null;3;""
23601602;64903523;1;3;3;null;""
23601602;64903017;2;4;null;4;""
23601602;64903523;2;4;4;null;""
23601602;64903017;1;5;null;5;""
23601602;64903523;1;5;5;null;""
23601602;64903017;2;6;null;6;""
23601602;64903523;2;6;6;null;""
23601602;64903523;1;7;null;null;""
23601602;64903523;2;8;null;null;""
