PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
2749893;5648776;1;1;null;1; Nicht richtig unterteilt
2749893;5648776;2;2;null;6;
2749893;5648776;1;3;null;7;
2749893;5648776;2;4;null;8;
2749893;5648776;1;5;null;9;
2749893;5648776;2;6;null;10;
2749893;5648776;1;7;null;11;
2749893;22677755;1;1;1;null;
2749893;22677755;2;2;null;null;
2749893;22677755;1;3;null;null;
2749893;22677755;2;4;null;null;
2749893;22677755;1;5;null;null;
2749893;22677755;2;6;2;null;
2749893;22677755;1;7;3;null;
2749893;22677755;2;8;4;null;
2749893;22677755;1;9;5;null;
2749893;22677755;2;10;6;null;
2749893;22677755;1;11;7;null;
