PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
22635390;61245759;1;1;null;1;""
22635390;61246418;1;1;1;1;""
22635390;61246916;1;1;1;1;""
22635390;61249680;1;1;1;null;""
22635390;61245759;2;2;null;2;""
22635390;61246418;2;2;2;2;""
22635390;61246916;2;2;2;2;""
22635390;61249680;2;2;2;null;""
22635390;61245759;1;3;null;3;""
22635390;61246418;1;3;3;3;""
22635390;61246916;1;3;3;3;""
22635390;61249680;1;3;3;null;""
22635390;61245759;2;4;null;4;""
22635390;61246418;2;4;4;4;""
22635390;61246916;2;4;4;4;""
22635390;61249680;2;4;4;null;""
