PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
3460514;7209838;1;1;null;1;""
3460514;7209930;1;1;1;1;""
3460514;7210052;1;1;1;1;""
3460514;7211142;1;1;1;1;""
3460514;7215008;1;1;1;1;""
3460514;7215165;1;1;1;null;""
3460514;7209838;2;2;null;2;""
3460514;7209930;2;2;2;2;""
3460514;7210052;2;2;2;2;""
3460514;7211142;2;2;2;null;""
3460514;7209838;1;3;null;3;""
3460514;7209930;1;3;3;3;""
3460514;7210052;1;3;3;3;""
3460514;7211142;1;3;3;null;""
3460514;7215008;2;2;null;4;""
3460514;7215165;2;4;2;null;""
3460514;7215008;1;3;null;5;""
3460514;7215165;1;5;3;null;""
3460514;7215165;2;2;null;4;""
3460514;7235493;2;4;2;4;""
3460514;7235574;2;4;4;null;""
3460514;7215165;1;3;null;null;""
3460514;7235493;1;1;null;1;""
3460514;7235574;1;1;1;null;""
3460514;7235493;2;2;null;2;""
3460514;7235574;2;2;2;null;""
3460514;7235493;1;3;null;3;""
3460514;7235574;1;3;3;null;""
3460514;7235493;1;5;null;5;""
3460514;7235574;1;5;5;null;""
3460514;7235709;1;1;null;1;""
3460514;7236371;1;1;1;1;""
3460514;7236379;1;1;1;1;""
3460514;7237466;1;1;1;1;""
3460514;146980493;1;1;1;null;""
3460514;7235709;2;2;null;4;""
3460514;7236371;2;4;2;4;""
3460514;7236379;2;4;4;4;""
3460514;7237466;2;4;4;4;""
3460514;146980493;2;4;4;null;""
3460514;7235709;1;3;null;5;""
3460514;7236371;1;5;3;5;""
3460514;7236379;1;5;5;5;""
3460514;7237466;1;5;5;5;""
3460514;146980493;1;5;5;null;""
3460514;7236371;2;2;null;2;""
3460514;7236379;2;2;2;2;""
3460514;7237466;2;2;2;2;""
3460514;146980493;2;2;2;null;""
3460514;7236371;1;3;null;3;""
3460514;7236379;1;3;3;3;""
3460514;7237466;1;3;3;3;""
3460514;146980493;1;3;3;null;""
