PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
21647653;57551955;1;1;null;1;""
21647653;57552013;1;1;1;1;""
21647653;57552037;1;1;1;1;""
21647653;57552924;1;1;1;1;""
21647653;57553835;1;1;1;1;""
21647653;57560908;1;1;1;1;""
21647653;57561111;1;1;1;1;""
21647653;57562016;1;1;1;null;""
21647653;57551955;2;2;null;null;""
21647653;57551955;1;3;null;null;""
21647653;57551955;2;4;null;2;""
21647653;57552013;2;2;4;2;""
21647653;57552037;2;2;2;2;""
21647653;57552924;2;2;2;2;""
21647653;57553835;2;2;2;2;""
21647653;57560908;2;2;2;2;""
21647653;57561111;2;2;2;2;""
21647653;57562016;2;2;2;null;""
21647653;57551955;1;5;null;3;""
21647653;57552013;1;3;5;null;""
21647653;57552924;1;3;null;3;""
21647653;57553835;1;3;3;3;""
21647653;57560908;1;3;3;3;""
21647653;57561111;1;3;3;3;""
21647653;57562016;1;3;3;null;""
