PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
"44036743";"145632276";"2";"1";"null";"3";""
"44036743";"145632338";"2";"3";"1";"null";""
"44036743";"145632276";"2";"2";"null";"4";""
"44036743";"145632338";"2";"4";"2";"null";""
"44036743";"145632338";"1";"1";"null";"null";""
"44036743";"145632338";"2";"2";"null";"null";""
"44036743";"145632338";"1";"5";"null";"null";""
"44036743";"145632338";"2";"6";"null";"null";""
"44036743";"145632338";"2";"7";"null";"null";""
"44036743";"145632338";"2";"8";"null";"null";""
