PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
"11219315";"26035599";"1";"1";"null";"1";""
"11219315";"26384113";"1";"1";"1";"null";""
"11219315";"26035599";"2";"2";"null";"2";""
"11219315";"26384113";"2";"2";"2";"null";""
"11219315";"26035599";"1";"3";"null";"3";""
"11219315";"26384113";"1";"3";"3";"null";""
"11219315";"26035599";"2";"4";"null";"4";""
"11219315";"26384113";"2";"4";"4";"null";""
"11219315";"26035599";"1";"5";"null";"5";""
"11219315";"26384113";"1";"5";"5";"null";""
"11219315";"26035599";"2";"6";"null";"6";""
"11219315";"26384113";"2";"6";"6";"null";""
"11219315";"26035599";"1";"7";"null";"7";""
"11219315";"26384113";"1";"7";"7";"null";""
"11219315";"26035599";"2";"8";"null";"8";""
"11219315";"26384113";"2";"8";"8";"null";""
"11219315";"26035599";"1";"9";"null";"9";""
"11219315";"26384113";"1";"9";"9";"null";""
"11219315";"26035599";"2";"10";"null";"10";""
"11219315";"26384113";"2";"10";"10";"null";""
"11219315";"26035599";"1";"11";"null";"11";""
"11219315";"26384113";"1";"11";"11";"null";""
"11219315";"26035599";"2";"12";"null";"12";""
"11219315";"26384113";"2";"12";"12";"null";""
"11219315";"26384113";"1";"13";"null";"null";""
