PostId; PostHistoryId; PostBlockTypeId; LocalId; PredLocalId; SuccLocalId; Comment
"38579909"; "123451001"; "1"; "1"; "null"; "1"; ""; 
"38579909"; "123451180"; "1"; "1"; "1"; "1"; ""; 
"38579909"; "123451480"; "1"; "1"; "1"; "1"; ""; 
"38579909"; "123451774"; "1"; "1"; "1"; "1"; ""; 
"38579909"; "123453328"; "1"; "1"; "1"; "1"; ""; 
"38579909"; "123454216"; "1"; "1"; "1"; "1"; ""; 
"38579909"; "123454475"; "1"; "1"; "1"; "1"; ""; 
"38579909"; "123455233"; "1"; "1"; "1"; "1"; ""; 
"38579909"; "123537101"; "1"; "1"; "1"; "null"; ""; 
"38579909"; "123451001"; "2"; "2"; "null"; "2"; ""; 
"38579909"; "123451180"; "2"; "2"; "2"; "2"; ""; 
"38579909"; "123451480"; "2"; "2"; "2"; "2"; ""; 
"38579909"; "123451774"; "2"; "2"; "2"; "2"; ""; 
"38579909"; "123453328"; "2"; "2"; "2"; "2"; ""; 
"38579909"; "123454216"; "2"; "2"; "2"; "2"; ""; 
"38579909"; "123454475"; "2"; "2"; "2"; "2"; ""; 
"38579909"; "123455233"; "2"; "2"; "2"; "2"; ""; 
"38579909"; "123537101"; "2"; "2"; "2"; "null"; ""; 
"38579909"; "123451001"; "1"; "3"; "null"; "3"; ""; 
"38579909"; "123451180"; "1"; "3"; "3"; "3"; ""; 
"38579909"; "123451480"; "1"; "3"; "3"; "3"; ""; 
"38579909"; "123451774"; "1"; "3"; "3"; "3"; ""; 
"38579909"; "123453328"; "1"; "3"; "3"; "3"; ""; 
"38579909"; "123454216"; "1"; "3"; "3"; "3"; ""; 
"38579909"; "123454475"; "1"; "3"; "3"; "3"; ""; 
"38579909"; "123455233"; "1"; "3"; "3"; "3"; ""; 
"38579909"; "123537101"; "1"; "3"; "3"; "null"; ""; 
"38579909"; "123451001"; "2"; "4"; "null"; "4"; ""; 
"38579909"; "123451180"; "2"; "4"; "4"; "4"; ""; 
"38579909"; "123451480"; "2"; "4"; "4"; "4"; ""; 
"38579909"; "123451774"; "2"; "4"; "4"; "4"; ""; 
"38579909"; "123453328"; "2"; "4"; "4"; "4"; ""; 
"38579909"; "123454216"; "2"; "4"; "4"; "4"; ""; 
"38579909"; "123454475"; "2"; "4"; "4"; "4"; ""; 
"38579909"; "123455233"; "2"; "4"; "4"; "4"; ""; 
"38579909"; "123537101"; "2"; "4"; "4"; "null"; ""; 
"38579909"; "123451001"; "1"; "5"; "null"; "null"; ""; 
"38579909"; "123451180"; "1"; "5"; "null"; "5"; ""; 
"38579909"; "123451480"; "1"; "5"; "5"; "5"; ""; 
"38579909"; "123451774"; "1"; "5"; "5"; "5"; ""; 
"38579909"; "123453328"; "1"; "5"; "5"; "5"; ""; 
"38579909"; "123454216"; "1"; "5"; "5"; "5"; ""; 
"38579909"; "123454475"; "1"; "5"; "5"; "5"; ""; 
"38579909"; "123455233"; "1"; "5"; "5"; "5"; ""; 
"38579909"; "123537101"; "1"; "5"; "5"; "null"; ""; 
"38579909"; "123537101"; "2"; "6"; "null"; "null"; ""; 
