Id;PostId;UserId;PostHistoryTypeId;RevisionGUID;CreationDate;Text;UserDisplayName;Comment
140226724;42695138;7556030;2;1dac4109-cdfd-4121-bd4c-ad4481b1634f;2017-03-09 12:14:28.0;"I am working on ssrs can someone tell me How to display group by(department) value outside the table in ssrs when page break is set on groups ?&#xD;&#xA;&#xD;&#xA;Actually i want to show the department name on top of S.no,Computer etc row which is set to Repeat on new Page,Please see the image &#xD;&#xA;[REport Image][1]&#xD;&#xA;&#xD;&#xA;in image i want to display PROJECT MANAGEMENT on top of table and that name should be changed accordingly(department vice) when navigate to next page.&#xD;&#xA;&#xD;&#xA;thank you&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;  [1]: https://i.stack.imgur.com/9543d.jpg";;
140226996;42695138;1350987;5;f79b7203-fa76-4554-92d1-3838518d30c2;2017-03-09 12:18:04.0;"I am working on ssrs can someone tell me How to display group by(department) value outside the table in ssrs when page break is set on groups ?&#xD;&#xA;&#xD;&#xA;Actually i want to show the department name on top of S.no,Computer etc row which is set to Repeat on new Page:&#xD;&#xA;&#xD;&#xA;![][1]&#xD;&#xA;&#xD;&#xA;in image i want to display PROJECT MANAGEMENT on top of table and that name should be changed accordingly(department vice) when navigate to next page.&#xD;&#xA;&#xD;&#xA;thank you&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;  [1]: https://i.stack.imgur.com/9543d.jpg";;deleted 30 characters in body
140411359;42695138;184201;5;3f25c7d9-3ffa-4bf5-ad20-34ca793b33ac;2017-03-11 19:40:01.0;"I am working on ssrs can someone tell me How to display group by(department) value outside the table in ssrs when page break is set on groups ?&#xD;&#xA;&#xD;&#xA;Actually i want to show the department name on top of S.no,Computer etc row which is set to Repeat on new Page:&#xD;&#xA;&#xD;&#xA;![][1]&#xD;&#xA;&#xD;&#xA;in image i want to display PROJECT MANAGEMENT on top of table and that name should be changed accordingly(department vice) when navigate to next page.&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;  [1]: https://i.stack.imgur.com/9543d.jpg";;deleted 11 characters in body
