PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
23917651;66123564;1;1;null;1;""
23917651;66123683;1;1;1;1;""
23917651;66124551;1;1;1;1;""
23917651;66124825;1;1;1;1;""
23917651;66125653;1;1;1;1;""
23917651;66125801;1;1;1;1;""
23917651;66126715;1;1;1;null;""
23917651;66124825;2;2;null;2;""
23917651;66125653;2;2;2;2;""
23917651;66125801;2;2;2;2;""
23917651;66126715;2;2;2;null;""
23917651;66125653;1;3;null;3;""
23917651;66125801;1;3;3;3;""
23917651;66126715;1;3;3;null;""
23917651;66125801;2;4;null;4;""
23917651;66126715;2;4;4;null;""
23917651;66125801;1;5;null;5;""
23917651;66126715;1;5;5;null;""
23917651;66125801;2;6;null;6;""
23917651;66126715;2;6;6;null;""
