PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
24408273;68023489;1;1;null;1;""
24408273;68024231;1;1;1;1;""
24408273;68032165;1;1;1;1;""
24408273;68034113;1;1;1;1;""
24408273;68034916;1;1;1;1;""
24408273;68036590;1;1;1;1;""
24408273;68039702;1;1;1;null;""
24408273;68023489;2;2;null;2;""
24408273;68024231;2;2;2;2;""
24408273;68032165;2;2;2;2;""
24408273;68034113;2;2;2;2;""
24408273;68034916;2;2;2;2;""
24408273;68036590;2;2;2;2;""
24408273;68039702;2;2;2;null;""
24408273;68023489;1;3;null;3;""
24408273;68024231;1;3;3;3;""
24408273;68032165;1;3;3;3;""
24408273;68034113;1;3;3;3;""
24408273;68034916;1;3;3;3;""
24408273;68036590;1;3;3;3;""
24408273;68039702;1;3;3;null;""
24408273;68023489;2;4;null;4;""
24408273;68024231;2;4;4;4;""
24408273;68032165;2;4;4;4;""
24408273;68034113;2;4;4;4;""
24408273;68034916;2;4;4;4;""
24408273;68036590;2;4;4;4;""
24408273;68039702;2;4;4;null;""
24408273;68023489;1;5;null;5;""
24408273;68024231;1;5;5;5;""
24408273;68032165;1;5;5;5;""
24408273;68034113;1;5;5;5;""
24408273;68034916;1;5;5;5;""
24408273;68036590;1;5;5;5;""
24408273;68039702;1;5;5;null;""
24408273;68032165;2;6;null;6;""
24408273;68034113;2;6;6;6;""
24408273;68034916;2;6;6;6;""
24408273;68036590;2;6;6;6;""
24408273;68039702;2;6;6;null;""
24408273;68032165;1;7;null;7;""
24408273;68034113;1;7;7;7;""
24408273;68034916;1;7;7;7;""
24408273;68036590;1;7;7;7;""
24408273;68039702;1;7;7;null;""
24408273;68032165;2;8;null;8;""
24408273;68034113;2;8;8;8;""
24408273;68034916;2;8;8;8;""
24408273;68036590;2;8;8;8;""
24408273;68039702;2;8;8;null;""
24408273;68032165;1;9;null;9;""
24408273;68034113;1;9;9;9;""
24408273;68034916;1;9;9;9;""
24408273;68036590;1;9;9;9;""
24408273;68039702;1;9;9;null;""
24408273;68036590;2;10;null;10;""
24408273;68039702;2;10;10;null;""
24408273;68036590;1;11;null;11;""
24408273;68039702;1;11;11;null;""
24408273;68036590;2;12;null;12;""
24408273;68039702;2;12;12;null;""
24408273;68036590;1;13;null;13;""
24408273;68039702;1;13;13;null;""
24408273;68039702;2;14;null;null;""
24408273;68039702;1;15;null;null;""
24408273;68039702;2;16;null;null;""
24408273;68039702;1;17;null;null;""
