PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
41941782;137184914;1;1;null;1;""
41941782;137185067;1;1;1;1;""
41941782;137185331;1;1;1;1;""
41941782;137186417;1;1;1;1;""
41941782;137186420;1;1;1;1;""
41941782;137224001;1;1;1;1;""
41941782;137254541;1;1;1;1;""
41941782;137286735;1;1;1;null;""
41941782;137184914;2;2;null;2;""
41941782;137185067;2;2;2;2;""
41941782;137185331;2;2;2;2;""
41941782;137186417;2;2;2;2;""
41941782;137186420;2;2;2;2;""
41941782;137224001;2;2;2;2;""
41941782;137254541;2;2;2;2;""
41941782;137286735;2;2;2;null;""
41941782;137184914;1;3;null;null;""
41941782;137185067;1;3;null;null;""
41941782;137185067;2;4;null;null;""
41941782;137286735;1;3;null;null;""
41941782;137286735;2;4;null;null;""
