PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
35916097;112883285;1;1;null;1;""
35916097;112884404;1;1;1;1;""
35916097;112884710;1;1;1;1;""
35916097;112885648;1;1;1;1;""
35916097;112888118;1;1;1;1;""
35916097;112888361;1;1;1;1;""
35916097;112889464;1;1;1;null;""
35916097;112883285;2;2;null;2;""
35916097;112884404;2;2;2;2;""
35916097;112884710;2;2;2;2;""
35916097;112885648;2;2;2;2;""
35916097;112888118;2;2;2;2;""
35916097;112888361;2;2;2;2;""
35916097;112889464;2;2;2;null;""
