Id;PostId;UserId;PostHistoryTypeId;RevisionGUID;CreationDate;Text;UserDisplayName;Comment
133521052;41070369;6421759;2;ffaa87d6-1889-465c-ba0f-9aeb845a2965;2016-12-09 23:19:25.0;"I'm building an ionic app. Everything works fine. &#xD;&#xA;&#xD;&#xA;**When I test my app in my Android device, I've been noted that the app close more frequently than others app.** (when you open again the splash screen appears not the last state)&#xD;&#xA;&#xD;&#xA;Frequently I means: 2 minutes, sometimes 5, sometimes 1 minutes. &#xD;&#xA;&#xD;&#xA;Also, I have an native app with the same functionalities and the app is open days may be and when I re-open the state is the same that when I put on background.&#xD;&#xA;&#xD;&#xA;**I know that we cannot compare native app with hybrid app, but the hybrid app close in a few minutes it is not ok.**&#xD;&#xA;&#xD;&#xA;Of course I know when the app is closed because the splash screen start again and take me to the homepage.&#xD;&#xA;&#xD;&#xA;If I was not clear, please let me know.&#xD;&#xA;&#xD;&#xA;I paste the app.js and some module, may be can help us to know whats happens.&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;    &#xD;&#xA;    // Ionic Starter App&#xD;&#xA;&#xD;&#xA;    // angular.module is a global place for creating, registering and retrieving Angular modules&#xD;&#xA;&#xD;&#xA;    // 'starter' is the name of this angular module example (also set in a <body>  attribute in index.html)&#xD;&#xA;    // the 2nd parameter is an array of 'requires'&#xD;&#xA;    angular.module('restaurant', [&#xD;&#xA;	'ionic',&#xD;&#xA;    'ionic-datepicker',&#xD;&#xA;    'ionic-toast',&#xD;&#xA;	'ionic.service.core',&#xD;&#xA;	'ionic.service.push',&#xD;&#xA;	'ngCordova',&#xD;&#xA;	'LocalStorageModule',&#xD;&#xA;	'firebase',&#xD;&#xA;	'config',&#xD;&#xA;	'restaurant.restaurant-cart',&#xD;&#xA;	'restaurant.restaurant-delivery',&#xD;&#xA;	'restaurant.categories',&#xD;&#xA;	'restaurant.products',&#xD;&#xA;	'restaurant.news',&#xD;&#xA;	'restaurant.map',&#xD;&#xA;    'restaurant.home',&#xD;&#xA;    'restaurant.datosusuario',&#xD;&#xA;    'restaurant.homeusuario',&#xD;&#xA;    'restaurant.cancha',&#xD;&#xA;    'restaurant.complejos',&#xD;&#xA;    'restaurant.ultimasoperaciones',&#xD;&#xA;	'restaurant.push',&#xD;&#xA;	'restaurant.menu',&#xD;&#xA;    'restaurant.configuracionescomplejo',&#xD;&#xA;    'restaurant.listanegra',&#xD;&#xA;    'restaurant.login',&#xD;&#xA;    'restaurant.agenda',&#xD;&#xA;	'restaurant.contacto',&#xD;&#xA;    'restaurant.infocancha',&#xD;&#xA;	'restaurant.wordpress',&#xD;&#xA;	'restaurant.drupal',&#xD;&#xA;	'restaurant.favorites',&#xD;&#xA;	'gMaps'&#xD;&#xA;    //,&#xD;&#xA;    //'ui.router', 'ngMessages', 'ngStorage'&#xD;&#xA;    ])&#xD;&#xA;&#xD;&#xA;    .value('_', window._)&#xD;&#xA;&#xD;&#xA;    .run(function($ionicPlatform,$rootScope, $http, $location, loginService) {&#xD;&#xA;	$ionicPlatform.ready(function() {&#xD;&#xA;		// Hide the accessory bar by default (remove this to show the accessory bar above the keyboard&#xD;&#xA;		// for form inputs)&#xD;&#xA;		if (window.cordova && window.cordova.plugins.Keyboard) {&#xD;&#xA;			cordova.plugins.Keyboard.hideKeyboardAccessoryBar(true);&#xD;&#xA;		}&#xD;&#xA;		if (window.StatusBar) {&#xD;&#xA;			// org.apache.cordova.statusbar required&#xD;&#xA;			StatusBar.styleDefault();&#xD;&#xA;		}&#xD;&#xA;        &#xD;&#xA;        var usuario = loginService.verificarSesion();&#xD;&#xA;         if(usuario == 1){&#xD;&#xA;                //es complejo&#xD;&#xA;                $location.path('/app/complejo/home');&#xD;&#xA;            }&#xD;&#xA;            else if(usuario == 2){&#xD;&#xA;                //es usuario comun&#xD;&#xA;                $location.path('/app/usuario/home-usuario');&#xD;&#xA;            }&#xD;&#xA;            else{&#xD;&#xA;                //no se renococió ningún usuario válido&#xD;&#xA;                $location.path('/app/login');&#xD;&#xA;            }&#xD;&#xA;        &#xD;&#xA;	});&#xD;&#xA;    })&#xD;&#xA;&#xD;&#xA;    .config(function($urlRouterProvider) {&#xD;&#xA;         $urlRouterProvider.otherwise('/app/login');&#xD;&#xA;    })&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;This is one of my module from my app&#xD;&#xA;&#xD;&#xA;    (function() {&#xD;&#xA;	'use strict';&#xD;&#xA;&#xD;&#xA;	angular&#xD;&#xA;		.module('dondejuego.agenda', [&#xD;&#xA;			'ionic',&#xD;&#xA;			'ngCordova',&#xD;&#xA;			'dondejuego.comun'&#xD;&#xA;		])&#xD;&#xA;		.config(function($stateProvider) {&#xD;&#xA;			$stateProvider&#xD;&#xA;				.state('app.agenda', {&#xD;&#xA;					url: '/complejo/agenda',&#xD;&#xA;					views: {&#xD;&#xA;						'menuContent': {&#xD;&#xA;							templateUrl: 'scripts/complejo/agenda/agenda.html',&#xD;&#xA;							controller: 'AgendaController as vm'&#xD;&#xA;						}&#xD;&#xA;					}&#xD;&#xA;				});&#xD;&#xA;		});&#xD;&#xA;    })();&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;Thanks for helping me!";;
133522134;41070369;6421759;5;698b1ca8-6cb3-4d89-aab9-1bfe1d3811e3;2016-12-09 23:54:37.0;"I'm building an ionic app. Everything works fine. &#xD;&#xA;&#xD;&#xA;**When I test my app in my Android device, I've been noted that the app close more frequently than others app.** (when you open again the splash screen appears not the last state)&#xD;&#xA;&#xD;&#xA;Frequently I means: 2 minutes, sometimes 5, sometimes 1 minutes. &#xD;&#xA;&#xD;&#xA;Also, I have an native app with the same functionalities and the app is open days may be and when I re-open the state is the same that when I put on background.&#xD;&#xA;&#xD;&#xA;**I know that we cannot compare native app with hybrid app, but the hybrid app close in a few minutes it is not ok.**&#xD;&#xA;&#xD;&#xA;Of course I know when the app is closed because the splash screen start again and take me to the homepage.&#xD;&#xA;&#xD;&#xA;If I was not clear, please let me know.&#xD;&#xA;&#xD;&#xA;I paste the app.js and some module, may be can help us to know whats happens.&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;    &#xD;&#xA;    // Ionic Starter App&#xD;&#xA;&#xD;&#xA;    // angular.module is a global place for creating, registering and retrieving Angular modules&#xD;&#xA;&#xD;&#xA;    // 'starter' is the name of this angular module example (also set in a <body>  attribute in index.html)&#xD;&#xA;    // the 2nd parameter is an array of 'requires'&#xD;&#xA;    angular.module('restaurant', [&#xD;&#xA;	'ionic',&#xD;&#xA;    'ionic-datepicker',&#xD;&#xA;    'ionic-toast',&#xD;&#xA;	'ionic.service.core',&#xD;&#xA;	'ionic.service.push',&#xD;&#xA;	'ngCordova',&#xD;&#xA;	'LocalStorageModule',&#xD;&#xA;	'firebase',&#xD;&#xA;	'config',&#xD;&#xA;	'restaurant.restaurant-cart',&#xD;&#xA;	'restaurant.restaurant-delivery',&#xD;&#xA;	'restaurant.categories',&#xD;&#xA;	'restaurant.products',&#xD;&#xA;	'restaurant.news',&#xD;&#xA;	'restaurant.map',&#xD;&#xA;    'restaurant.home',&#xD;&#xA;    'restaurant.datosusuario',&#xD;&#xA;    'restaurant.homeusuario',&#xD;&#xA;    'restaurant.cancha',&#xD;&#xA;    'restaurant.complejos',&#xD;&#xA;    'restaurant.ultimasoperaciones',&#xD;&#xA;	'restaurant.push',&#xD;&#xA;	'restaurant.menu',&#xD;&#xA;    'restaurant.configuracionescomplejo',&#xD;&#xA;    'restaurant.listanegra',&#xD;&#xA;    'restaurant.login',&#xD;&#xA;    'restaurant.agenda',&#xD;&#xA;	'restaurant.contacto',&#xD;&#xA;    'restaurant.infocancha',&#xD;&#xA;	'restaurant.wordpress',&#xD;&#xA;	'restaurant.drupal',&#xD;&#xA;	'restaurant.favorites',&#xD;&#xA;	'gMaps'&#xD;&#xA;    //,&#xD;&#xA;    //'ui.router', 'ngMessages', 'ngStorage'&#xD;&#xA;    ])&#xD;&#xA;&#xD;&#xA;    .value('_', window._)&#xD;&#xA;&#xD;&#xA;    .run(function($ionicPlatform,$rootScope, $http, $location, loginService) {&#xD;&#xA;	$ionicPlatform.ready(function() {&#xD;&#xA;		// Hide the accessory bar by default (remove this to show the accessory bar above the keyboard&#xD;&#xA;		// for form inputs)&#xD;&#xA;		if (window.cordova && window.cordova.plugins.Keyboard) {&#xD;&#xA;			cordova.plugins.Keyboard.hideKeyboardAccessoryBar(true);&#xD;&#xA;		}&#xD;&#xA;		if (window.StatusBar) {&#xD;&#xA;			// org.apache.cordova.statusbar required&#xD;&#xA;			StatusBar.styleDefault();&#xD;&#xA;		}&#xD;&#xA;        &#xD;&#xA;        var usuario = loginService.verificarSesion();&#xD;&#xA;         if(usuario == 1){&#xD;&#xA;                //es complejo&#xD;&#xA;                $location.path('/app/complejo/home');&#xD;&#xA;            }&#xD;&#xA;            else if(usuario == 2){&#xD;&#xA;                //es usuario comun&#xD;&#xA;                $location.path('/app/usuario/home-usuario');&#xD;&#xA;            }&#xD;&#xA;            else{&#xD;&#xA;                //no se renococió ningún usuario válido&#xD;&#xA;                $location.path('/app/login');&#xD;&#xA;            }&#xD;&#xA;        &#xD;&#xA;	});&#xD;&#xA;    })&#xD;&#xA;&#xD;&#xA;    .config(function($urlRouterProvider) {&#xD;&#xA;         $urlRouterProvider.otherwise('/app/login');&#xD;&#xA;    })&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;This is one of my module from my app&#xD;&#xA;&#xD;&#xA;    (function() {&#xD;&#xA;	'use strict';&#xD;&#xA;&#xD;&#xA;	angular&#xD;&#xA;		.module('restaurant.agenda', [&#xD;&#xA;			'ionic',&#xD;&#xA;			'ngCordova',&#xD;&#xA;			'restaurant.comun'&#xD;&#xA;		])&#xD;&#xA;		.config(function($stateProvider) {&#xD;&#xA;			$stateProvider&#xD;&#xA;				.state('app.agenda', {&#xD;&#xA;					url: '/complejo/agenda',&#xD;&#xA;					views: {&#xD;&#xA;						'menuContent': {&#xD;&#xA;							templateUrl: 'scripts/complejo/agenda/agenda.html',&#xD;&#xA;							controller: 'AgendaController as vm'&#xD;&#xA;						}&#xD;&#xA;					}&#xD;&#xA;				});&#xD;&#xA;		});&#xD;&#xA;    })();&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;Thanks for helping me!";;edited body
133557958;41070369;6421759;5;3f0d1f13-187b-4d08-8b10-16d728a59e8c;2016-12-10 14:42:26.0;"I'm building an ionic app. Everything works fine. &#xD;&#xA;&#xD;&#xA;**When I test my app in my Android device, I've been noted that the app close more frequently than others app.** (when you open again the splash screen appears not the last state)&#xD;&#xA;&#xD;&#xA;Frequently I means: 2 minutes, sometimes 5, sometimes 1 minutes. &#xD;&#xA;&#xD;&#xA;Also, I have an native app with the same functionalities and the app is open days may be and when I re-open the state is the same that when I put on background.&#xD;&#xA;&#xD;&#xA;**I know that we cannot compare native app with hybrid app, but the hybrid app close in a few minutes it is not ok.**&#xD;&#xA;&#xD;&#xA;Of course I know when the app is closed because the splash screen start again and take me to the homepage.&#xD;&#xA;&#xD;&#xA;If I was not clear, please let me know.&#xD;&#xA;&#xD;&#xA;I paste the app.js and some module, may be can help us to know whats happens.&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;    &#xD;&#xA;    // Ionic Starter App&#xD;&#xA;&#xD;&#xA;    // angular.module is a global place for creating, registering and retrieving Angular modules&#xD;&#xA;&#xD;&#xA;    // 'starter' is the name of this angular module example (also set in a <body>  attribute in index.html)&#xD;&#xA;    // the 2nd parameter is an array of 'requires'&#xD;&#xA;    angular.module('restaurant', [&#xD;&#xA;	'ionic',&#xD;&#xA;    'ionic-datepicker',&#xD;&#xA;    'ionic-toast',&#xD;&#xA;	'ionic.service.core',&#xD;&#xA;	'ionic.service.push',&#xD;&#xA;	'ngCordova',&#xD;&#xA;	'LocalStorageModule',&#xD;&#xA;	'firebase',&#xD;&#xA;	'config',&#xD;&#xA;	'restaurant.restaurant-cart',&#xD;&#xA;	'restaurant.restaurant-delivery',&#xD;&#xA;	'restaurant.categories',&#xD;&#xA;	'restaurant.products',&#xD;&#xA;	'restaurant.news',&#xD;&#xA;	'restaurant.map',&#xD;&#xA;    'restaurant.home',&#xD;&#xA;    'restaurant.datosusuario',&#xD;&#xA;    'restaurant.homeusuario',&#xD;&#xA;    'restaurant.cancha',&#xD;&#xA;    'restaurant.complejos',&#xD;&#xA;    'restaurant.ultimasoperaciones',&#xD;&#xA;	'restaurant.push',&#xD;&#xA;	'restaurant.menu',&#xD;&#xA;    'restaurant.configuracionescomplejo',&#xD;&#xA;    'restaurant.listanegra',&#xD;&#xA;    'restaurant.login',&#xD;&#xA;    'restaurant.agenda',&#xD;&#xA;	'restaurant.contacto',&#xD;&#xA;    'restaurant.infocancha',&#xD;&#xA;	'restaurant.wordpress',&#xD;&#xA;	'restaurant.drupal',&#xD;&#xA;	'restaurant.favorites',&#xD;&#xA;	'gMaps'&#xD;&#xA;    //,&#xD;&#xA;    //'ui.router', 'ngMessages', 'ngStorage'&#xD;&#xA;    ])&#xD;&#xA;&#xD;&#xA;    .value('_', window._)&#xD;&#xA;&#xD;&#xA;    .run(function($ionicPlatform,$rootScope, $http, $location, loginService) {&#xD;&#xA;	$ionicPlatform.ready(function() {&#xD;&#xA;		// Hide the accessory bar by default (remove this to show the accessory bar above the keyboard&#xD;&#xA;		// for form inputs)&#xD;&#xA;		if (window.cordova && window.cordova.plugins.Keyboard) {&#xD;&#xA;			cordova.plugins.Keyboard.hideKeyboardAccessoryBar(true);&#xD;&#xA;		}&#xD;&#xA;		if (window.StatusBar) {&#xD;&#xA;			// org.apache.cordova.statusbar required&#xD;&#xA;			StatusBar.styleDefault();&#xD;&#xA;		}&#xD;&#xA;        &#xD;&#xA;        var usuario = loginService.verificarSesion();&#xD;&#xA;         if(usuario == 1){&#xD;&#xA;                //es complejo&#xD;&#xA;                $location.path('/app/complejo/home');&#xD;&#xA;            }&#xD;&#xA;            else if(usuario == 2){&#xD;&#xA;                //es usuario comun&#xD;&#xA;                $location.path('/app/usuario/home-usuario');&#xD;&#xA;            }&#xD;&#xA;            else{&#xD;&#xA;                //no se renococió ningún usuario válido&#xD;&#xA;                $location.path('/app/login');&#xD;&#xA;            }&#xD;&#xA;        &#xD;&#xA;	});&#xD;&#xA;    })&#xD;&#xA;&#xD;&#xA;    .config(function($urlRouterProvider) {&#xD;&#xA;         $urlRouterProvider.otherwise('/app/login');&#xD;&#xA;    })&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;This is one of my module from my app&#xD;&#xA;&#xD;&#xA;    (function() {&#xD;&#xA;	'use strict';&#xD;&#xA;&#xD;&#xA;	angular&#xD;&#xA;		.module('restaurant.agenda', [&#xD;&#xA;			'ionic',&#xD;&#xA;			'ngCordova',&#xD;&#xA;			'restaurant.comun'&#xD;&#xA;		])&#xD;&#xA;		.config(function($stateProvider) {&#xD;&#xA;			$stateProvider&#xD;&#xA;				.state('app.agenda', {&#xD;&#xA;					url: '/complejo/agenda',&#xD;&#xA;					views: {&#xD;&#xA;						'menuContent': {&#xD;&#xA;							templateUrl: 'scripts/complejo/agenda/agenda.html',&#xD;&#xA;							controller: 'AgendaController as vm'&#xD;&#xA;						}&#xD;&#xA;					}&#xD;&#xA;				});&#xD;&#xA;		});&#xD;&#xA;    })();&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;Thanks for helping me!&#xD;&#xA;&#xD;&#xA;**//EDIT//**&#xD;&#xA;&#xD;&#xA;I'm getting the following message when I pressed the back button from my first activity:&#xD;&#xA;&#xD;&#xA;    12-10 11:38:03.793 1210-1210/com.example.restaurant W/cr_AwContents: WebView.destroy() called while WebView is still attached to window.&#xD;&#xA;    12-10 11:38:03.837 1210-1210/com.example.restaurant W/cr_ScreenOrientation: Removing an inexistent observer!&#xD;&#xA;&#xD;&#xA;Only happens when I press the back button from my android device, when I'am in the main activity (the first activity that the app opens after the splash activity). It is like the app close when detect back button pressed and there isn't other activities to go.";;added 632 characters in body
