PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
28614781;84158654;1;1;null;1;""
28614781;84159081;1;1;1;1;""
28614781;84164516;1;1;1;1;""
28614781;84229303;1;1;1;1;""
28614781;84294359;1;1;1;1;""
28614781;84294786;1;1;1;1;""
28614781;84398578;1;1;1;1;""
28614781;84427489;1;1;1;1;""
28614781;84428226;1;1;1;1;""
28614781;84428830;1;1;1;null;""
28614781;84158654;2;2;null;2;""
28614781;84159081;2;2;2;2;""
28614781;84164516;2;2;2;2;""
28614781;84229303;2;2;2;2;""
28614781;84294359;2;2;2;2;""
28614781;84294786;2;2;2;2;""
28614781;84398578;2;2;2;2;""
28614781;84427489;2;2;2;2;""
28614781;84428226;2;2;2;2;""
28614781;84428830;2;2;2;null;""
28614781;84428226;1;3;null;3;""
28614781;84428830;1;3;3;null;""
28614781;84428226;2;4;null;4;""
28614781;84428830;2;4;4;null;""
