PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
"8616670";"19383942";"1";"1";"null";"2";"";
"8616670";"19384010";"1";"2";"1";"1";"";
"8616670";"19384043";"1";"1";"2";"4";"";
"8616670";"19384108";"1";"4";"1";"null";"";
"8616670";"19384010";"2";"1";"null";"null";"";
"8616670";"19384108";"2";"1";"null";"1";"";
"8616670";"19384125";"2";"1";"1";"1";"";
"8616670";"19384151";"2";"1";"1";"1";"";
"8616670";"19384231";"2";"1";"1";"null";"";
"8616670";"19384108";"1";"2";"null";"null";"";
"8616670";"19384108";"2";"3";"null";"null";"";
"8616670";"19384151";"1";"2";"null";"2";"";
"8616670";"19384231";"1";"2";"2";"null";"";
"8616670";"19384151";"2";"3";"null";"3";"";
"8616670";"19384231";"2";"3";"3";"null";"";
