PostId; PostHistoryId; PostBlockTypeId; LocalId; PredLocalId; SuccLocalId; Comment
"3279569"; "6809089"; "1"; "1"; "null"; "1"; ""; 
"3279569"; "6814335"; "1"; "1"; "1"; "null"; ""; 
"3279569"; "6809089"; "2"; "2"; "null"; "2"; ""; 
"3279569"; "6814335"; "2"; "2"; "2"; "null"; ""; 
"3279569"; "6809089"; "1"; "3"; "null"; "3"; ""; 
"3279569"; "6814335"; "1"; "3"; "3"; "null"; ""; 
"3279569"; "6809089"; "2"; "4"; "null"; "4"; ""; 
"3279569"; "6814335"; "2"; "4"; "4"; "null"; ""; 
"3279569"; "6809089"; "1"; "5"; "null"; "5"; ""; 
"3279569"; "6814335"; "1"; "5"; "5"; "null"; ""; 
"3279569"; "6814335"; "2"; "6"; "null"; "null"; ""; 
"3279569"; "6814335"; "1"; "7"; "null"; "null"; ""; 
