PostId; PostHistoryId; PostBlockTypeId; LocalId; PredLocalId; SuccLocalId; Comment
"52"; "43"; "1"; "1"; "null"; "null"; ""; 
"52"; "43"; "2"; "2"; "null"; "null"; ""; 
