PostId; PostHistoryId; PostBlockTypeId; LocalId; PredLocalId; SuccLocalId; Comment
"44"; "37"; "1"; "1"; "null"; "1"; ""; 
"44"; "30458639"; "1"; "1"; "1"; "null"; ""; 
