Id;PostId;UserId;PostHistoryTypeId;RevisionGUID;CreationDate;Text;UserDisplayName;Comment
16546523;7488478;758084;2;a200b7b5-4039-43cc-b71a-7e26de20fe3a;2011-09-20 16:25:26.0;"i am trying to check if one string is the same of another, or maybe a part of it with the code below:&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;    import java.io.FileNotFoundException;&#xD;&#xA;    import java.io.FileReader;&#xD;&#xA;    import java.util.Scanner;&#xD;&#xA;    &#xD;&#xA;&#xD;&#xA;    public class Comparison {&#xD;&#xA;    &#xD;&#xA;    &#xD;&#xA;        static void compare() throws FileNotFoundException {&#xD;&#xA;    &#xD;&#xA;        Scanner queries = new Scanner(new FileReader(""./out.txt""));&#xD;&#xA;        Scanner folks = new Scanner(new FileReader(""./tal.txt""));&#xD;&#xA;        int index1 = 0;&#xD;&#xA;          while ( queries.hasNextLine() ){&#xD;&#xA;              String check = queries.next();&#xD;&#xA;    &#xD;&#xA;              while (folks.hasNextLine()){&#xD;&#xA;                  String toCheck = folks.next();&#xD;&#xA;               index1 = toCheck.indexOf(check);&#xD;&#xA;    &#xD;&#xA;              }//while&#xD;&#xA;    &#xD;&#xA;          }//while&#xD;&#xA;        &#xD;&#xA;          System.out.println(""Result: ""+ index1);&#xD;&#xA;            &#xD;&#xA;    &#xD;&#xA;        }&#xD;&#xA;    }&#xD;&#xA;&#xD;&#xA;But i take the error below:&#xD;&#xA;&#xD;&#xA;> Exception in thread ""main"" java.util.NoSuchElementException 	at&#xD;&#xA;> java.util.Scanner.throwFor(Scanner.java:838) 	at&#xD;&#xA;> java.util.Scanner.next(Scanner.java:1347) 	at&#xD;&#xA;> results.Comparison.compare(Comparison.java:28) 	at&#xD;&#xA;> results.Main.main(Main.java:42)&#xD;&#xA;&#xD;&#xA;What is the problem? How can i make it work?&#xD;&#xA;&#xD;&#xA;";;
16546787;7488478;834362;5;94ea4c25-8cba-407d-a3f3-c74582a99f80;2011-09-20 16:33:43.0;"i am trying to check if one string is the same of another, or maybe a part of it with the code below:&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;    import java.io.FileNotFoundException;&#xD;&#xA;    import java.io.FileReader;&#xD;&#xA;    import java.util.Scanner;&#xD;&#xA;    &#xD;&#xA;&#xD;&#xA;    public class Comparison {&#xD;&#xA;    &#xD;&#xA;        static void compare() throws FileNotFoundException {&#xD;&#xA;    &#xD;&#xA;            Scanner queries = new Scanner(new FileReader(""./out.txt""));&#xD;&#xA;            Scanner folks = new Scanner(new FileReader(""./tal.txt""));&#xD;&#xA;            int index1 = 0;&#xD;&#xA;            while ( queries.hasNextLine() ){&#xD;&#xA;                String check = queries.next();&#xD;&#xA;    &#xD;&#xA;                while (folks.hasNextLine()) {&#xD;&#xA;                    String toCheck = folks.next();&#xD;&#xA;                    index1 = toCheck.indexOf(check);&#xD;&#xA;                }//while&#xD;&#xA;            }//while&#xD;&#xA;&#xD;&#xA;            System.out.println(""Result: ""+ index1);&#xD;&#xA;        }&#xD;&#xA;    }&#xD;&#xA;&#xD;&#xA;But i take the error below:&#xD;&#xA;&#xD;&#xA;> Exception in thread ""main"" java.util.NoSuchElementException 	at&#xD;&#xA;> java.util.Scanner.throwFor(Scanner.java:838) 	at&#xD;&#xA;> java.util.Scanner.next(Scanner.java:1347) 	at&#xD;&#xA;> results.Comparison.compare(Comparison.java:28) 	at&#xD;&#xA;> results.Main.main(Main.java:42)&#xD;&#xA;&#xD;&#xA;What is the problem? How can i make it work?&#xD;&#xA;&#xD;&#xA;";;Formatted code
16547280;7488478;40342;5;8a01bd07-b976-4b42-8bf2-51a6ad28053c;2011-09-20 16:54:58.0;"I am trying to check if one string is the same as another or maybe if it's a part of it with the code below:&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;    import java.io.FileNotFoundException;&#xD;&#xA;    import java.io.FileReader;&#xD;&#xA;    import java.util.Scanner;&#xD;&#xA;    &#xD;&#xA;&#xD;&#xA;    public class Comparison {&#xD;&#xA;    &#xD;&#xA;        static void compare() throws FileNotFoundException {&#xD;&#xA;    &#xD;&#xA;            Scanner queries = new Scanner(new FileReader(""./out.txt""));&#xD;&#xA;            Scanner folks = new Scanner(new FileReader(""./tal.txt""));&#xD;&#xA;            int index1 = 0;&#xD;&#xA;            while ( queries.hasNextLine() ){&#xD;&#xA;                String check = queries.next();&#xD;&#xA;    &#xD;&#xA;                while (folks.hasNextLine()) {&#xD;&#xA;                    String toCheck = folks.next();&#xD;&#xA;                    index1 = toCheck.indexOf(check);&#xD;&#xA;                }//while&#xD;&#xA;            }//while&#xD;&#xA;&#xD;&#xA;            System.out.println(""Result: ""+ index1);&#xD;&#xA;        }&#xD;&#xA;    }&#xD;&#xA;&#xD;&#xA;But I get the error below:&#xD;&#xA;&#xD;&#xA;<pre>&#xD;&#xA;Exception in thread ""main"" java.util.NoSuchElementException&#xD;&#xA; 	at java.util.Scanner.throwFor(Scanner.java:838)&#xD;&#xA; 	at java.util.Scanner.next(Scanner.java:1347)&#xD;&#xA; 	at results.Comparison.compare(Comparison.java:28)&#xD;&#xA; 	at results.Main.main(Main.java:42)&#xD;&#xA;</pre>&#xD;&#xA;&#xD;&#xA;What is the problem? How can I make it work?&#xD;&#xA;&#xD;&#xA;";;added 15 characters in body
