Id;PostId;UserId;PostHistoryTypeId;RevisionGUID;CreationDate;Text;UserDisplayName;Comment
93737973;31072075;5052824;2;9eefbadc-065b-45ab-a604-9413a936eb75;2015-06-26 11:28:38.0;"I had a MySQL Download counter previously ""working"" a few months ago and all of a sudden it has stopped working, It was recording (individual cydia downloads) to the database then posting it to the main webpage with Stats.&#xD;&#xA;I've gone through all the code and files, over and over again. Over 24Hours digging and it has still not been solved. If i link the files or post the text ""on Here"" Would someone please help me. ";;
93739643;31072075;5052824;5;ce02aa4c-98a0-4ac6-86f4-3455f6654c06;2015-06-26 11:52:58.0;"I had a MySQL Download counter previously ""working"" a few months ago and all of a sudden it has stopped working, It was recording (individual cydia downloads) to the database then posting it to the main webpage with Stats.&#xD;&#xA;I've gone through all the code and files, over and over again. Over 24Hours digging and it has still not been solved. If i link the files or post the text ""on Here"" Would someone please help me. &#xD;&#xA;&#xD;&#xA;Had issues as website would not let me upload my code so left a link below. &#xD;&#xA;&#xD;&#xA;[Counter.txt][1]&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;  [1]: https://www.dropbox.com/s/575b93ewg5w1bib/counter.txt?dl=0";;added 171 characters in body
93740705;31072075;5052824;5;d1082565-6325-4d83-9a30-0e75edea1158;2015-06-26 12:07:43.0;"I had a MySQL Download counter previously ""working"" a few months ago and all of a sudden it has stopped working, It was recording (individual cydia downloads) to the database then posting it to the main webpage with Stats.&#xD;&#xA;I've gone through all the code and files, over and over again. Over 24Hours digging and it has still not been solved. If i link the files or post the text ""on Here"" Would someone please help me. &#xD;&#xA;&#xD;&#xA;Had issues as website would not let me upload my code so left a link below. &#xD;&#xA;&#xD;&#xA;[Counter.txt][1]&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;  [1]: https://www.dropbox.com/s/575b93ewg5w1bib/counter.txt?dl=0&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA; CONNECT.php&#xD;&#xA;      <?php&#xD;&#xA;&#xD;&#xA;`$server = ""localhost""; `&#xD;&#xA;`$user = ""root""; `&#xD;&#xA;`$password = ""PASSWORD""; `&#xD;&#xA;`$database = mysql_connect ($server, $user, $password); `&#xD;&#xA;`mysql_select_db(""DATABASE_NAME"", $database); `&#xD;&#xA;&#xD;&#xA;`?>`&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;COUNTER.php&#xD;&#xA;     <?php&#xD;&#xA;&#xD;&#xA;`include(""connect.php"");`&#xD;&#xA;&#xD;&#xA;`$filename = mysql_real_escape_string($_GET['file']);`&#xD;&#xA;`$path = $_SERVER['DOCUMENT_ROOT'].""/""; `&#xD;&#xA;`$fullPath = $path.$filename; `&#xD;&#xA;&#xD;&#xA;`$filetypes = array(""deb"", ""zip"");`&#xD;&#xA;&#xD;&#xA;`if (!in_array(substr($filename, -3), $filetypes)) {&#xD;&#xA;	echo ""Invalid download type."";&#xD;&#xA;	exit;&#xD;&#xA;}`&#xD;&#xA;&#xD;&#xA;`if ($fd = fopen ($fullPath, ""r"")) {&#xD;&#xA;	$result = mysql_query(""SELECT COUNT(*) AS countfile FROM download&#xD;&#xA;	WHERE filename='"" . $filename . ""'"");&#xD;&#xA;	$data = mysql_fetch_array($result);&#xD;&#xA;	$q = """";`&#xD;&#xA;	&#xD;&#xA;	if ($data['countfile'] > 0) {&#xD;&#xA;		$q = ""UPDATE download SET dldate = NOW()+INTERVAL +6 HOUR, stats = stats + 1 WHERE&#xD;&#xA;		filename = '"" . $filename . ""'"";&#xD;&#xA;	} else {&#xD;&#xA;		$q = ""INSERT INTO download (filename, dldate, stats) VALUES&#xD;&#xA;		('"" . $filename . ""',NOW()+INTERVAL +6 HOUR, 1)""; /* +6 = UK Timezone */&#xD;&#xA;	}&#xD;&#xA;	$statresult = mysql_query($q);&#xD;&#xA;	&#xD;&#xA;	$fsize = filesize($fullPath);&#xD;&#xA;	$path_parts = pathinfo($fullPath);&#xD;&#xA;&#xD;&#xA;	header(""Content-type: application/octet-stream"");&#xD;&#xA;	header(""Content-Disposition: filename=\\"""".$path_parts[""basename""].""\\"""");&#xD;&#xA;	header(""Content-length: $fsize"");&#xD;&#xA;	header(""Cache-control: private""); &#xD;&#xA;	while(!feof($fd)) {&#xD;&#xA;		$buffer = fread($fd, 2048);&#xD;&#xA;		echo $buffer;&#xD;&#xA;	}&#xD;&#xA;`}&#xD;&#xA;fclose ($fd);`&#xD;&#xA;`exit;`&#xD;&#xA;`?>`";;added 231 characters in body
93741092;31072075;5052824;5;9c6639f4-4815-4d19-801a-524de05cd02f;2015-06-26 12:13:31.0;"I had a MySQL Download counter previously ""working"" a few months ago and all of a sudden it has stopped working, It was recording (individual cydia downloads) to the database then posting it to the main webpage with Stats.&#xD;&#xA;I've gone through all the code and files, over and over again. Over 24Hours digging and it has still not been solved. If i link the files or post the text ""on Here"" Would someone please help me. &#xD;&#xA;&#xD;&#xA;Had issues as website would not let me upload my code so left a link below. &#xD;&#xA;&#xD;&#xA;[Counter.txt][1]&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;  [1]: https://www.dropbox.com/s/575b93ewg5w1bib/counter.txt?dl=0&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA; **CONNECT.php**&#xD;&#xA;&#xD;&#xA; `<?php`&#xD;&#xA;&#xD;&#xA;`$server = ""localhost""; &#xD;&#xA;`&#xD;&#xA;`$user = ""root"";&#xD;&#xA; `&#xD;&#xA;`$password = ""PASSWORD"";&#xD;&#xA; `&#xD;&#xA;`$database = mysql_connect ($server, $user, $password); &#xD;&#xA;`&#xD;&#xA;`mysql_select_db(""DATABASE_NAME"", $database); `&#xD;&#xA;&#xD;&#xA;`?>`&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;**COUNTER.php**&#xD;&#xA;     <?php&#xD;&#xA;&#xD;&#xA;`include(""connect.php"");`&#xD;&#xA;&#xD;&#xA;`$filename = mysql_real_escape_string($_GET['file']);`&#xD;&#xA;`$path = $_SERVER['DOCUMENT_ROOT'].""/""; `&#xD;&#xA;`$fullPath = $path.$filename; `&#xD;&#xA;&#xD;&#xA;`$filetypes = array(""deb"", ""zip"");`&#xD;&#xA;&#xD;&#xA;`if (!in_array(substr($filename, -3), $filetypes)) {&#xD;&#xA;	echo ""Invalid download type."";&#xD;&#xA;	exit;&#xD;&#xA;}`&#xD;&#xA;&#xD;&#xA;`if ($fd = fopen ($fullPath, ""r"")) {&#xD;&#xA;	$result = mysql_query(""SELECT COUNT(*) AS countfile FROM download&#xD;&#xA;	WHERE filename='"" . $filename . ""'"");&#xD;&#xA;	$data = mysql_fetch_array($result);&#xD;&#xA;	$q = """";`&#xD;&#xA;	&#xD;&#xA;	if ($data['countfile'] > 0) {&#xD;&#xA;		$q = ""UPDATE download SET dldate = NOW()+INTERVAL +6 HOUR, stats = stats + 1 WHERE&#xD;&#xA;		filename = '"" . $filename . ""'"";&#xD;&#xA;	} else {&#xD;&#xA;		$q = ""INSERT INTO download (filename, dldate, stats) VALUES&#xD;&#xA;		('"" . $filename . ""',NOW()+INTERVAL +6 HOUR, 1)""; /* +6 = UK Timezone */&#xD;&#xA;	}&#xD;&#xA;	$statresult = mysql_query($q);&#xD;&#xA;	&#xD;&#xA;	$fsize = filesize($fullPath);&#xD;&#xA;	$path_parts = pathinfo($fullPath);&#xD;&#xA;&#xD;&#xA;	header(""Content-type: application/octet-stream"");&#xD;&#xA;	header(""Content-Disposition: filename=\\"""".$path_parts[""basename""].""\\"""");&#xD;&#xA;	header(""Content-length: $fsize"");&#xD;&#xA;	header(""Cache-control: private""); &#xD;&#xA;	while(!feof($fd)) {&#xD;&#xA;		$buffer = fread($fd, 2048);&#xD;&#xA;		echo $buffer;&#xD;&#xA;	}&#xD;&#xA;`}&#xD;&#xA;fclose ($fd);`&#xD;&#xA;`exit;`&#xD;&#xA;`?>`&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;**INDEX.html**&#xD;&#xA;&#xD;&#xA;`<div class=""downloads"">Downloads: `&#xD;&#xA;&#xD;&#xA;`<?PHP`&#xD;&#xA;&#xD;&#xA;`include(""connect.php"");`&#xD;&#xA;&#xD;&#xA;`$query = ""SELECT stats FROM download WHERE filename = 'deb/com.icon.deb'"";`&#xD;&#xA;&#xD;&#xA;`$result = mysql_query($query);`&#xD;&#xA;&#xD;&#xA;`while ($row = mysql_fetch_array($result)) {`&#xD;&#xA;&#xD;&#xA;`echo $row[0];&#xD;&#xA;}&#xD;&#xA;?>`&#xD;&#xA; </div>&#xD;&#xA;</div>";;added 231 characters in body
93741569;31072075;5052824;5;236e60da-f023-4dda-a644-ee4fdff896fa;2015-06-26 12:19:47.0;"I had a MySQL Download counter previously ""working"" a few months ago and all of a sudden it has stopped working, It was recording (individual cydia downloads) to the database then posting it to the main webpage with Stats.&#xD;&#xA;I've gone through all the code and files, over and over again. Over 24Hours digging and it has still not been solved. If i link the files or post the text ""on Here"" Would someone please help me. &#xD;&#xA;&#xD;&#xA;Had issues as website would not let me upload my code so left a link below. &#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA; **CONNECT.php**&#xD;&#xA;&#xD;&#xA; `<?php`&#xD;&#xA;&#xD;&#xA;`$server = ""localhost""; &#xD;&#xA;`&#xD;&#xA;`$user = ""root"";&#xD;&#xA; `&#xD;&#xA;`$password = ""PASSWORD"";&#xD;&#xA; `&#xD;&#xA;`$database = mysql_connect ($server, $user, $password); &#xD;&#xA;`&#xD;&#xA;`mysql_select_db(""DATABASE_NAME"", $database); `&#xD;&#xA;&#xD;&#xA;`?>`&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;**COUNTER.php**&#xD;&#xA;&#xD;&#xA;`<?php`&#xD;&#xA;&#xD;&#xA;`include(""connect.php"");`&#xD;&#xA;&#xD;&#xA;`$filename = mysql_real_escape_string($_GET['file']);&#xD;&#xA;`&#xD;&#xA;`$path = $_SERVER['DOCUMENT_ROOT'].""/""; &#xD;&#xA;`&#xD;&#xA;`$fullPath = $path.$filename; `&#xD;&#xA;&#xD;&#xA;`$filetypes = array(""deb"", ""zip"");`&#xD;&#xA;&#xD;&#xA;`if (!in_array(substr($filename, -3), $filetypes)) {&#xD;&#xA;	echo ""Invalid download type."";&#xD;&#xA;	exit;&#xD;&#xA;}`&#xD;&#xA;&#xD;&#xA;`if ($fd = fopen ($fullPath, ""r"")) {&#xD;&#xA;	$result = mysql_query(""SELECT COUNT(*) AS countfile FROM download&#xD;&#xA;	WHERE filename='"" . $filename . ""'"");&#xD;&#xA;	$data = mysql_fetch_array($result);&#xD;&#xA;	$q = """";`&#xD;&#xA;	&#xD;&#xA;	if ($data['countfile'] > 0) {&#xD;&#xA;		$q = ""UPDATE download SET dldate = NOW()+INTERVAL +6 HOUR, stats = stats + 1 WHERE&#xD;&#xA;		filename = '"" . $filename . ""'"";&#xD;&#xA;	} else {&#xD;&#xA;		$q = ""INSERT INTO download (filename, dldate, stats) VALUES&#xD;&#xA;		('"" . $filename . ""',NOW()+INTERVAL +6 HOUR, 1)""; /* +6 = UK Timezone */&#xD;&#xA;	}&#xD;&#xA;	$statresult = mysql_query($q);&#xD;&#xA;	&#xD;&#xA;	$fsize = filesize($fullPath);&#xD;&#xA;	$path_parts = pathinfo($fullPath);&#xD;&#xA;&#xD;&#xA;	header(""Content-type: application/octet-stream"");&#xD;&#xA;	header(""Content-Disposition: filename=\\"""".$path_parts[""basename""].""\\"""");&#xD;&#xA;	header(""Content-length: $fsize"");&#xD;&#xA;	header(""Cache-control: private""); &#xD;&#xA;	while(!feof($fd)) {&#xD;&#xA;		$buffer = fread($fd, 2048);&#xD;&#xA;		echo $buffer;&#xD;&#xA;	}&#xD;&#xA;`}&#xD;&#xA;fclose ($fd);`&#xD;&#xA;`exit;`&#xD;&#xA;&#xD;&#xA;`?>`&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;**INDEX.html**&#xD;&#xA;&#xD;&#xA;`<div class=""downloads"">Downloads: `&#xD;&#xA;&#xD;&#xA;`<?PHP`&#xD;&#xA;&#xD;&#xA;`include(""connect.php"");`&#xD;&#xA;&#xD;&#xA;`$query = ""SELECT stats FROM download WHERE filename = 'deb/com.icon.deb'"";`&#xD;&#xA;&#xD;&#xA;`$result = mysql_query($query);`&#xD;&#xA;&#xD;&#xA;`while ($row = mysql_fetch_array($result)) {`&#xD;&#xA;&#xD;&#xA;`echo $row[0];&#xD;&#xA;}&#xD;&#xA;?>`&#xD;&#xA; </div>&#xD;&#xA;</div>";;added 231 characters in body
93742344;31072075;5052824;5;5e045aa7-b58a-4fac-b232-ce3da995a838;2015-06-26 12:30:00.0;"I had a MySQL Download counter previously ""working"" a few months ago and all of a sudden it has stopped working, It was recording (individual cydia downloads) to the database then posting it to the main webpage with Stats.&#xD;&#xA;I've gone through all the code and files, over and over again. Over 24Hours digging and it has still not been solved. If i link the files or post the text ""on Here"" Would someone please help me. &#xD;&#xA; &#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA; **CONNECT.php**&#xD;&#xA;&#xD;&#xA; `<?php`&#xD;&#xA;&#xD;&#xA;`$server = ""localhost""; &#xD;&#xA;`&#xD;&#xA;`$user = ""root"";&#xD;&#xA; `&#xD;&#xA;`$password = ""PASSWORD"";&#xD;&#xA; `&#xD;&#xA;`$database = mysql_connect ($server, $user, $password); &#xD;&#xA;`&#xD;&#xA;`mysql_select_db(""DATABASE_NAME"", $database); `&#xD;&#xA;&#xD;&#xA;`?>`&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;**COUNTER.php**&#xD;&#xA;&#xD;&#xA;`<?php`&#xD;&#xA;&#xD;&#xA;`include(""connect.php"");`&#xD;&#xA;&#xD;&#xA;`$filename = mysql_real_escape_string($_GET['file']);&#xD;&#xA;`&#xD;&#xA;`$path = $_SERVER['DOCUMENT_ROOT'].""/""; &#xD;&#xA;`&#xD;&#xA;`$fullPath = $path.$filename; `&#xD;&#xA;&#xD;&#xA;`$filetypes = array(""deb"", ""zip"");`&#xD;&#xA;&#xD;&#xA;`if (!in_array(substr($filename, -3), $filetypes)) {&#xD;&#xA;	echo ""Invalid download type."";&#xD;&#xA;	exit;&#xD;&#xA;}`&#xD;&#xA;&#xD;&#xA;`if ($fd = fopen ($fullPath, ""r"")) {&#xD;&#xA;	$result = mysql_query(""SELECT COUNT(*) AS countfile FROM download&#xD;&#xA;	WHERE filename='"" . $filename . ""'"");&#xD;&#xA;	$data = mysql_fetch_array($result);&#xD;&#xA;	$q = """";`&#xD;&#xA;	&#xD;&#xA;	if ($data['countfile'] > 0) {&#xD;&#xA;		$q = ""UPDATE download SET dldate = NOW()+INTERVAL +6 HOUR, stats = stats + 1 WHERE&#xD;&#xA;		filename = '"" . $filename . ""'"";&#xD;&#xA;	} else {&#xD;&#xA;		$q = ""INSERT INTO download (filename, dldate, stats) VALUES&#xD;&#xA;		('"" . $filename . ""',NOW()+INTERVAL +6 HOUR, 1)""; /* +6 = UK Timezone */&#xD;&#xA;	}&#xD;&#xA;	$statresult = mysql_query($q);&#xD;&#xA;	&#xD;&#xA;	$fsize = filesize($fullPath);&#xD;&#xA;	$path_parts = pathinfo($fullPath);&#xD;&#xA;&#xD;&#xA;	header(""Content-type: application/octet-stream"");&#xD;&#xA;	header(""Content-Disposition: filename=\\"""".$path_parts[""basename""].""\\"""");&#xD;&#xA;	header(""Content-length: $fsize"");&#xD;&#xA;	header(""Cache-control: private""); &#xD;&#xA;	while(!feof($fd)) {&#xD;&#xA;		$buffer = fread($fd, 2048);&#xD;&#xA;		echo $buffer;&#xD;&#xA;	}&#xD;&#xA;`}&#xD;&#xA;fclose ($fd);`&#xD;&#xA;`exit;`&#xD;&#xA;&#xD;&#xA;`?>`&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;**INDEX.html**&#xD;&#xA;&#xD;&#xA;`<div class=""downloads"">Downloads: `&#xD;&#xA;&#xD;&#xA;`<?PHP`&#xD;&#xA;&#xD;&#xA;`include(""connect.php"");`&#xD;&#xA;&#xD;&#xA;`$query = ""SELECT stats FROM download WHERE filename = 'deb/com.icon.deb'"";`&#xD;&#xA;&#xD;&#xA;`$result = mysql_query($query);`&#xD;&#xA;&#xD;&#xA;`while ($row = mysql_fetch_array($result)) {`&#xD;&#xA;&#xD;&#xA;`echo $row[0];&#xD;&#xA;}&#xD;&#xA;?>`&#xD;&#xA; </div>&#xD;&#xA;</div>";;deleted 77 characters in body
93743845;31072075;1011527;5;f4835f41-9e2f-435a-9449-471b60f1a1c0;2015-06-26 12:50:07.0;"I had a MySQL Download counter previously ""working"" a few months ago and all of a sudden it has stopped working, It was recording (individual cydia downloads) to the database then posting it to the main webpage with Stats.&#xD;&#xA;I've gone through all the code and files, over and over again. Over 24Hours digging and it has still not been solved. If i link the files or post the text ""on Here"" Would someone please help me. &#xD;&#xA; &#xD;&#xA;&#xD;&#xA;CONNECT.php&#xD;&#xA;&#xD;&#xA;     <?php&#xD;&#xA;        $server = ""localhost""; &#xD;&#xA;        $user = ""root"";&#xD;&#xA;        $password = ""PASSWORD"";&#xD;&#xA;        $database = mysql_connect ($server, $user, $password); &#xD;&#xA;        mysql_select_db(""DATABASE_NAME"", $database); `&#xD;&#xA;    ?>&#xD;&#xA;&#xD;&#xA;COUNTER.php&#xD;&#xA;&#xD;&#xA;    <?php&#xD;&#xA;    &#xD;&#xA;    include(""connect.php"");&#xD;&#xA;    &#xD;&#xA;    $filename = mysql_real_escape_string($_GET['file']);&#xD;&#xA;    &#xD;&#xA;    $path = $_SERVER['DOCUMENT_ROOT'].""/""; &#xD;&#xA;    &#xD;&#xA;    $fullPath = $path.$filename; &#xD;&#xA;    &#xD;&#xA;    $filetypes = array(""deb"", ""zip"");&#xD;&#xA;    &#xD;&#xA;    if (!in_array(substr($filename, -3), $filetypes)) {&#xD;&#xA;    	echo ""Invalid download type."";&#xD;&#xA;    	exit;&#xD;&#xA;    }&#xD;&#xA;    &#xD;&#xA;    if ($fd = fopen ($fullPath, ""r"")) {&#xD;&#xA;    	$result = mysql_query(""SELECT COUNT(*) AS countfile FROM download&#xD;&#xA;    	WHERE filename='"" . $filename . ""'"");&#xD;&#xA;    	$data = mysql_fetch_array($result);&#xD;&#xA;    	$q = """";&#xD;&#xA;    	&#xD;&#xA;    	if ($data['countfile'] > 0) {&#xD;&#xA;    		$q = ""UPDATE download SET dldate = NOW()+INTERVAL +6 HOUR, stats = stats + 1 WHERE&#xD;&#xA;    		filename = '"" . $filename . ""'"";&#xD;&#xA;    	} else {&#xD;&#xA;    		$q = ""INSERT INTO download (filename, dldate, stats) VALUES&#xD;&#xA;    		('"" . $filename . ""',NOW()+INTERVAL +6 HOUR, 1)""; /* +6 = UK Timezone */&#xD;&#xA;    	}&#xD;&#xA;    	$statresult = mysql_query($q);&#xD;&#xA;    	&#xD;&#xA;    	$fsize = filesize($fullPath);&#xD;&#xA;    	$path_parts = pathinfo($fullPath);&#xD;&#xA;    &#xD;&#xA;    	header(""Content-type: application/octet-stream"");&#xD;&#xA;    	header(""Content-Disposition: filename=\\"""".$path_parts[""basename""].""\\"""");&#xD;&#xA;    	header(""Content-length: $fsize"");&#xD;&#xA;    	header(""Cache-control: private""); &#xD;&#xA;    	while(!feof($fd)) {&#xD;&#xA;    		$buffer = fread($fd, 2048);&#xD;&#xA;    		echo $buffer;&#xD;&#xA;    	}&#xD;&#xA;    }&#xD;&#xA;    fclose ($fd);&#xD;&#xA;    exit;&#xD;&#xA;    &#xD;&#xA;    ?>&#xD;&#xA;&#xD;&#xA;INDEX.html&#xD;&#xA;&#xD;&#xA;    <div class=""downloads"">Downloads: &#xD;&#xA;    &#xD;&#xA;    <?PHP&#xD;&#xA;    &#xD;&#xA;    include(""connect.php"");&#xD;&#xA;    &#xD;&#xA;    $query = ""SELECT stats FROM download WHERE filename = 'deb/com.icon.deb'"";&#xD;&#xA;    &#xD;&#xA;    $result = mysql_query($query);&#xD;&#xA;    &#xD;&#xA;    while ($row = mysql_fetch_array($result)) {&#xD;&#xA;    &#xD;&#xA;    echo $row[0];&#xD;&#xA;    }&#xD;&#xA;    ?>&#xD;&#xA;     </div>&#xD;&#xA;    </div>";;formatted code
